timestamp,pose,dx,dy,scale,true_pose
2025-11-12 20:10:54.689196,normal,-1,0,0.999,
2025-11-12 20:10:54.722839,normal,-1,0,0.989,
2025-11-12 20:10:54.766368,normal,-1,0,0.995,
2025-11-12 20:10:54.806134,normal,-1,0,0.999,
2025-11-12 20:10:54.840017,normal,-1,0,0.999,
2025-11-12 20:10:54.868071,normal,0,0,1.0,
2025-11-12 20:10:54.905834,normal,0,0,1.004,
2025-11-12 20:10:54.942697,normal,-1,0,0.995,
2025-11-12 20:10:54.975691,normal,0,0,1.0,
2025-11-12 20:10:55.016020,normal,0,0,1.0,
2025-11-12 20:10:55.045005,normal,0,0,0.995,
2025-11-12 20:10:55.084110,normal,0,1,0.995,
2025-11-12 20:10:55.115623,normal,1,1,0.995,
2025-11-12 20:10:55.155586,normal,1,1,1.0,
2025-11-12 20:10:55.189084,normal,1,1,0.985,
2025-11-12 20:10:55.221725,normal,0,1,0.996,
2025-11-12 20:10:55.251646,normal,1,1,0.999,
2025-11-12 20:10:55.289066,normal,0,1,1.0,
2025-11-12 20:10:55.341964,normal,0,0,0.986,
2025-11-12 20:10:55.381817,normal,1,1,0.99,
2025-11-12 20:10:55.411646,normal,1,1,0.991,
2025-11-12 20:10:55.443983,normal,1,1,0.99,
2025-11-12 20:10:55.481943,normal,0,1,0.999,
2025-11-12 20:10:55.516445,normal,1,1,1.0,
2025-11-12 20:10:55.551963,normal,1,1,0.991,
2025-11-12 20:10:55.583799,normal,0,0,0.99,
2025-11-12 20:10:55.621607,normal,0,1,1.0,
2025-11-12 20:10:55.653782,normal,1,0,0.99,
2025-11-12 20:10:55.691345,normal,0,1,0.991,
2025-11-12 20:10:55.725188,normal,0,0,0.994,
2025-11-12 20:10:55.758268,normal,0,1,0.999,
2025-11-12 20:10:55.783280,normal,1,2,0.991,
2025-11-12 20:10:55.821699,normal,1,1,0.991,
2025-11-12 20:10:55.847104,normal,1,1,0.996,
2025-11-12 20:10:55.881648,normal,0,1,0.991,
2025-11-12 20:10:55.913985,normal,1,1,0.996,
2025-11-12 20:10:55.951921,normal,1,1,0.996,
2025-11-12 20:10:55.981971,normal,1,1,0.991,
2025-11-12 20:10:56.012060,normal,1,0,0.981,
2025-11-12 20:10:56.041765,normal,0,0,0.976,
2025-11-12 20:10:56.075286,normal,0,0,0.972,
2025-11-12 20:10:56.111892,normal,0,0,0.967,
2025-11-12 20:10:56.147591,normal,0,1,0.981,
2025-11-12 20:10:56.186178,normal,0,0,0.976,
2025-11-12 20:10:56.222573,normal,0,1,0.98,
2025-11-12 20:10:56.255792,normal,1,1,0.977,
2025-11-12 20:10:56.283756,normal,0,0,0.981,
2025-11-12 20:10:56.311622,normal,0,1,0.987,
2025-11-12 20:10:56.353485,normal,0,1,0.987,
2025-11-12 20:10:56.389370,normal,-1,1,0.982,
2025-11-12 20:10:56.413998,normal,0,0,0.987,
2025-11-12 20:10:56.456323,normal,0,1,0.981,
2025-11-12 20:10:56.486065,normal,0,1,0.977,
2025-11-12 20:10:56.515911,normal,0,0,0.981,
2025-11-12 20:10:56.546723,normal,0,0,0.991,
2025-11-12 20:10:56.586332,normal,0,0,0.991,
2025-11-12 20:10:56.621525,normal,0,0,0.992,
2025-11-12 20:10:56.653437,normal,0,1,0.987,
2025-11-12 20:10:56.681986,normal,0,0,0.987,
2025-11-12 20:10:56.716972,normal,0,0,0.986,
2025-11-12 20:10:56.742713,normal,-1,1,1.001,
2025-11-12 20:10:56.786252,normal,0,0,0.986,
2025-11-12 20:10:56.816481,normal,-1,-1,0.991,
2025-11-12 20:10:56.856125,normal,0,0,0.987,
2025-11-12 20:10:56.883688,normal,-1,0,1.001,
2025-11-12 20:10:56.921917,normal,0,0,0.992,
2025-11-12 20:10:56.952260,normal,0,0,0.987,
2025-11-12 20:10:56.983736,normal,0,0,0.981,
2025-11-12 20:10:57.015872,normal,0,0,0.982,
2025-11-12 20:10:57.053451,normal,-1,0,0.977,
2025-11-12 20:10:57.082052,normal,0,-1,0.976,
2025-11-12 20:10:57.112132,normal,0,-1,0.982,
2025-11-12 20:10:57.151795,normal,0,0,0.982,
2025-11-12 20:10:57.181831,normal,0,-1,0.981,
2025-11-12 20:10:57.213787,normal,0,-1,0.981,
2025-11-12 20:10:57.255702,normal,1,-1,0.972,
2025-11-12 20:10:57.281891,normal,0,-1,0.981,
2025-11-12 20:10:57.321841,normal,1,-1,0.987,
2025-11-12 20:10:57.355345,normal,1,-2,0.981,
2025-11-12 20:10:57.385306,normal,0,-1,1.001,
2025-11-12 20:10:57.415598,normal,1,-1,0.976,
2025-11-12 20:10:57.451608,normal,0,-2,0.981,
2025-11-12 20:10:57.481767,normal,0,-3,0.976,
2025-11-12 20:10:57.516116,normal,0,-3,0.981,
2025-11-12 20:10:57.541753,normal,1,-4,0.967,
2025-11-12 20:10:57.581576,normal,0,-4,0.968,
2025-11-12 20:10:57.614406,normal,1,-4,0.957,
2025-11-12 20:10:57.656331,normal,1,-4,0.967,
2025-11-12 20:10:57.689104,normal,1,-5,0.958,
2025-11-12 20:10:57.722334,normal,1,-5,0.967,
2025-11-12 20:10:57.757442,normal,1,-6,0.958,
2025-11-12 20:10:57.789868,normal,1,-6,0.958,
2025-11-12 20:10:57.823969,normal,2,-5,0.954,
2025-11-12 20:10:57.867266,normal,1,-6,0.958,
2025-11-12 20:10:57.911884,normal,2,-7,0.962,
2025-11-12 20:10:57.945440,normal,1,-7,0.944,
2025-11-12 20:10:57.987229,normal,2,-7,0.949,
2025-11-12 20:10:58.022067,normal,1,-8,0.958,
2025-11-12 20:10:58.059795,normal,2,-9,0.953,
2025-11-12 20:10:58.091755,normal,2,-8,0.944,
2025-11-12 20:10:58.120887,normal,1,-9,0.935,
2025-11-12 20:10:58.156687,normal,2,-10,0.931,
2025-11-12 20:10:58.191817,normal,2,-10,0.926,
2025-11-12 20:10:58.221769,normal,2,-11,0.926,
2025-11-12 20:10:58.256293,normal,2,-12,0.917,
2025-11-12 20:10:58.293695,normal,2,-12,0.922,
2025-11-12 20:10:58.327017,normal,2,-13,0.913,
2025-11-12 20:10:58.351646,normal,2,-14,0.913,
2025-11-12 20:10:58.381664,normal,2,-14,0.904,
2025-11-12 20:10:58.406050,normal,1,-15,0.905,
2025-11-12 20:10:58.441611,L,2,-16,0.899,
2025-11-12 20:10:58.481714,L,2,-16,0.89,
2025-11-12 20:10:58.523332,L,2,-16,0.89,
2025-11-12 20:10:58.544967,L,2,-17,0.894,
